Date,MSFT,AAPL,NVDA,AMZN,GOOGL,META,GOOG,CVX,TSLA,LLY,UNH,AVGO,JPM,V,XOM,JNJ,HD,MA,PG,COST,MRK,ABBV,ADBE,CRM,AMD
2021-07-29,1.5337824435803424,1.0484779777942388,0.7720939032650602,0.7549907007320722,2.342882393977159,1.8944802772720095,1.8665266309738617,0.8458909701620502,1.0565532752162743,2.2356855326760203,0.9166959726291565,1.2850246228458801,0.9043922108188203,1.4571360804552271,0.7305005949674861,1.579723160766877,1.1104643437621788,1.281795748893349,1.3698379253248973,2.723860876147368,0.9360667795346853,1.508555616092052,1.765088335838218,0.7593972294138832,2.067762485470235
2021-07-30,1.970536506568365,1.2218064053336157,0.9469691570533416,0.5557874085430992,2.790803814381151,1.3933219601490532,2.1524948168402953,1.0179607824345906,1.3756613240415956,1.842849867190779,1.1001937787627554,1.4651867930617561,1.174490748343133,1.936447335449486,0.8559355316224665,1.6958446552208988,1.5694269950837105,1.5777760236610234,1.5217138495319675,2.7699025754845845,0.7189143761457536,1.796913059959974,1.7943004791639576,0.8964893442788802,3.0841896938750692
2021-08-02,1.6443897657268562,1.0808737194589197,0.8494856213191857,0.290046085522544,2.32664820358608,1.1869574549626531,1.7472660600775345,0.8056488533320386,1.4519878901909886,1.9134730131267315,1.0173642235434153,1.18412830322423,0.750121084886326,1.5912503974475427,0.5970828605228589,1.550696357944956,1.3920137656878742,1.382931844948228,2.0670922223293187,2.674074634719328,0.7311355392921224,0.962102177704599,1.9282219878664308,0.82095911187036,3.3552896118560414
2021-08-03,1.7286626349867331,1.1061629639703328,0.7844467068925612,0.2981830545875708,2.131868039425421,0.9965048724950587,1.7141194163197842,0.7727959196337373,1.3489957318586048,2.124544097938658,0.9936769651298673,0.979289033578795,0.5793625608105495,1.1177636477294346,0.6023036465484581,1.6660377523184502,1.3415980411039168,1.022222629652111,1.9118756791206373,4.200210579662489,0.6870901911310469,0.6767917770059907,2.0985894285987605,0.8780701186347415,3.7453924160594685
2021-08-04,1.5915607668216294,1.1655698259241276,0.8771704682681156,0.3961888927110326,2.184287051888841,1.005192207929205,1.694414129850187,0.8924768805528122,1.7598494864553083,3.3348013562367744,1.1486625847537963,1.1068628810535557,0.8102021219472781,0.7801290785518277,0.6991895438066591,2.2731478956758866,2.259367148034148,0.7306348580249686,2.3739545395875536,5.850411281953506,0.7276585948659361,0.7577154584542399,1.958769289083322,0.8229270281138434,4.704663631263356
2021-08-05,1.3680343389761938,0.835429629458762,1.207789201002382,0.37856421769057347,1.924908855404272,1.3395907636678401,1.5062891072926057,0.862226473825387,2.4557746254291017,3.9022770567031113,1.3329124859172155,1.2412461779556678,0.7465365226336292,0.6069218371666508,0.6933076527790399,1.5895097513685188,1.8315959757197142,0.6117028300427684,1.6875503920135098,5.309639401118711,0.5945882845651707,0.6913084289536875,1.9861322054624393,1.1436766542428494,7.170282056498512
2021-08-06,1.884040451844831,0.8928954811700819,2.1034780663719963,0.4673501169959557,2.474292522997975,1.5886689132251703,1.7994882460736175,1.0140162121306553,2.738184642480948,9.315043470269384,0.7325361588641526,1.4622716618607992,0.8575608651526232,0.65497859361097,0.7924182318919962,2.7876257210875472,1.7730303674724799,0.691766372218564,1.5170020852301205,6.331083840797971,0.5627465987082199,0.7147418903720418,2.7837713493295118,2.5055297442889857,4.396965491871836
2021-08-09,1.9284730581130138,0.9919208507557563,3.3335586276893707,0.49259921828891723,2.309262434013915,1.785771232382244,1.7315317710418725,1.4857041000077247,2.2537335912211054,7.692592054803967,0.8681040286224426,2.1145924835990404,1.5318079599137018,0.720457149666155,1.11278773499141,2.536702887868871,1.5449492173977348,0.783133253647969,1.1290188106986325,4.777563376816178,0.5245200300593792,0.6101793294144715,2.6719492665191447,2.409521193052292,3.9901096425111553
2021-08-10,2.683883951825892,1.5917821769842582,2.4816312124634208,0.5169730136694645,3.8671339288597806,1.9493571529942217,2.907445716651752,1.73384006482235,2.518785850131352,8.056670816247156,1.0871767088931072,2.3700496568620735,2.7439759651551685,0.989465694240957,1.4265070526918222,4.355842449609165,1.7252466814695673,1.177018950264007,1.2394235215934386,4.380505744432744,0.6214558713005738,0.7791967655660367,3.0784499996785053,2.320779505924115,3.076586899046804
2021-08-11,1.8363562101974304,0.9296849347311958,2.133330078380745,0.43675630863195924,3.397409434626721,1.7396094165529417,2.517927531233857,1.9335693160711978,2.031727571422245,8.310867073310582,0.9645552739089455,1.8475203705160357,2.583490893929292,0.7586177459846519,1.5015507868523938,3.6022451940089493,1.4456893660361128,0.8371783350694447,1.3872046933176012,4.422139294540465,0.7444933361146293,0.8025432894294884,1.6477225770125357,1.2423799139060145,2.7617952070833476
